"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","DATA_TRANSFORMATION","FREQUENCY","SCALE","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04"
"IMF.RES:PCPS(9.0.0)","G001.PMANGELE.USD.M","OBS_VALUE","World","Manganese, US dollars per metric tonne, Unit prices","US dollars","Monthly","Units","2131.818181818182","2100","2156.521739130435","2125","2082.608695652174","2002.272727272727","1900","1900","1876.190476190476","1828.409090909091","1825","1796.190476190476","1826.521739130435","2078.75","2234.090909090909","2200","2523.913043478261","2357.142857142857","2300","2517.391304347826","2800","2765.217391304348","2600","2338.095238095238","2100","2100","2021.428571428571","1950","1992.391304347826","1965.75","1962.608695652174","1907.272727272727","1738.095238095238","1750","1684.52380952381","1625","1644.565217391304","1958.75","2275","1680","1680","1662.272727272727","1623.913043478261","1571.666666666667","1612.840909090909","1665.454545454545","1589.166666666667","1600","2126.190476190476","2635","2811.95652173913","2862.5","2985.714285714286","3336.363636363636","3537.5","3885","4975.227272727273","5828.571428571429","6209.090909090909","7450","7507.142857142857","7400","6577.173913043478","6300","6300","5059.090909090909","2887.5","2447.282608695652","2400","2421.428571428571","2393.181818181818","2325","2384.090909090909","2425","2507.173913043478","2374.75","2350","2350","2097.02380952381","2037.5","2037.5","2037.5","2068.181818181818","2027.380952380952","2023.913043478261","2008.333333333333","1971.428571428571","1975","1903.913043478261","2115","2203.695652173913","2172.954545454545","2129.761904761905","2122.282608695652","2081.547619047619","2463.068181818182","2452.173913043478","1956.25","2073.809523809524","2047.727272727273","2001.590909090909","2034.642857142857","2030.652173913043","2099.52380952381","2089.090909090909","2071.413043478261","2108.375","2220","2244.659090909091","2766.875","2855","2958.409090909091"
"IMF.RES:PCPS(9.0.0)","G001.PLITH.USD.M","OBS_VALUE","World","Lithium, 99%, Battery Grade, Unit prices","US dollars","Monthly","Units","116016.211055313","116384.7304306754","115996.7948326595","116089.7759779202","116156.845178383","117521.6780900759","118117.0270504819","119918.1825591873","121812.6703788118","123644.6015980743","132143.8435163116","138042.4449578921","141477.9736157397","143975.769873261","143979.278202447","144462.5660482278","143941.6006324498","144682.2120577029","136396.4919756645","131186.0037557343","128398.3391524536","124993.6411995054","120330.2824370434","119539.9373180435","117410.3413847597","117155.2072497673","116143.3212919558","112608.0442018642","108327.7889676546","105147.6575770884","98557.47690484309","92297.52448187855","90613.0381339729","89768.31076106696","85586.30509997181","83369.60877103482","84515.02925086957","84090.140102","84763.64251363636","80179.88385136364","76716.06809857143","72682.34472545455","67930.88594652174","68554.15717047619","69236.40839954545","69367.46173454545","70408.86870095238","71683.13575304348","76313.43475285714","79876.0632235","85196.12259652174","89693.15300090909","94471.27044809524","96521.50791363636","95767.61461818182","103970.1406418182","122714.9005","142293.4406904762","163563.7530090909","184429.3076173913","266260.8506142857","341140.047585","473185.8825478261","490008.1789809524","453228.8572181818","443656.2049090909","441052.3354380952","435305.331326087","418813.4928227273","409005.5056571429","409954.0166772727","421882.4549409091","430097.8227818182","416103.53512","354118.3082695652","289990.748865","224371.317926087","264872.0279454545","268325.5716809524","248534.4317217391","207135.5084809524","179183.3216590909","169803.6390409091","150633.2850095238","122568.0850217391","121638.0524142857","124285.9050285714","124327.2883681818","124404.9609782609","121502.490755","114426.5757043478","107474.5133181818","103653.0490190476","102664.2511347826","99543.68902380952","96533.88027181818","91267.27120391304","90862.0400435","89546.10487428571","85250.20191","82233.826185","77075.40465857143","77346.04119826087","81553.94802095238","84644.21118636364","82990.07994478261","85629.7223035","95256.61168","131371.4684090909","149174.50071","155400.7472318182","159973.0811727273"
"IMF.RES:PCPS(9.0.0)","G001.PCOBA.USD.M","OBS_VALUE","World","Cobalt, US dollars per pound, Unit prices","US dollars","Monthly","Units","34720.38095238095","43005","52765.21739130435","55305.55555555556","54941.94047619048","57449.45454545455","58548.90476190476","58465.13636363636","60128.5","59905.86363636364","62118.04545454545","72632.05263157895","77293.52272727273","80792.6","87614.90476190476","90782.5","90250","81188.09523809524","70647.72727272727","63302.29545454545","62210.325","60626.78260869565","54962.93181818182","55263.15789473684","40704.54545454545","32100","31333.33333333333","33500","34166.66666666667","28809","27340.32608695652","30136.57142857143","35720.42857142857","35263.08695652174","35510.16666666667","33547.4625","32213.02272727273","33542.075","31119.04545454545","29565","29562.59210526316","29074.34090909091","28517.02173913043","32914.88095238095","33482.10227272727","33227.875","32238.88095238095","31882.28571428571","37883.775","47516.45","52414.67391304348","49020.7","44214.85","44149.36363636364","51649.02272727273","51640.5","51797.90909090909","54779.28571428571","60412.5","69347.19047619048","70527.05","71573.6","80457.4347826087","81790.38095238095","77721.36363636364","72057.72727272727","55713.2380952381","49308.82608695652","51515.40909090909","51509.2380952381","51504.59090909091","51497.77272727273","48874.36363636364","36615.0125","33865.13043478261","34498.75","33139.63043478261","29350.63636363636","32982.29761904762","32980.65217391304","32981.88095238095","32982.75","33003.72727272727","30025.66666666667","28691.42391304348","28271.04761904762","28282.35714285714","27997.06818181818","27440.23913043478","26825.4","26401.21739130435","25111.34090909091","24080.35714285714","24229.21739130435","24292.2619047619","24300","23779.95652173913","21721.075","31534.71428571429","33313.63636363636","33260.34090909091","32964.78571428571","32895.14130434783","32895.97619047619","33482.06818181818","43145.73913043478","48138.85","51872.69318181818","55500.13636363636","55858.175","55849.36363636364","55857.27272727273"
"IMF.RES:PCPS(9.0.0)","G001.PNICK.USD.M","OBS_VALUE","World","Nickel, US dollars per metric tonne, Unit prices","US dollars","Monthly","Units","9971.464285714286","10643.3","10204.66304347826","9609.277777777778","9155.119047619048","8931.761363636364","9491.392857142857","10889.97727272727","11215.78571428571","11335.77272727273","11972","11495.10526315789","12864.875","13595.875","13392.5","13938.1","14366.4880952381","15105.65476190476","13793.86363636364","13411.35227272727","12510.35","12314.91304347826","11239.71590909091","10835.07894736842","11523.09090909091","12685.225","13026.27380952381","12772.7875","12016.30952380952","11943.9375","13546.30434782609","15748.64285714286","17656.88095238095","17046.21739130435","15171.80952380952","13829.425","13506.86363636364","12715.55","11846.22727272727","11804.0095","12179.60526315789","12727.15227272727","13402.30391304348","14575.78285714286","14857.48863636364","15239.36363636364","15807.73333333333","16823.03857142857","17863.176","18584.38","16406.66043478261","16521.25","17602.1025","17979.56590909091","18818.51136363636","19141.29666666667","19376.875","19362.39285714286","19932.86318181818","20015.54857142857","22355.4","24015.55","33924.17647058824","33133.80952380952","28228.88681818182","25877.06818181818","21481.89285714286","22034.89130434783","22773.96636363636","22032.89285714286","25562.69772727273","28985.92045454545","28271.49090909091","26727.95","23288.60826086957","23770.7995","22134.78260869565","21233.27818181818","21091.2619047619","20446.35826086957","19644.64285714286","18264.03545454545","17027.36363636364","16443.52380952381","16111.66695652174","16338.46428571429","17397.36047619048","18132.36409090909","19576.54652173913","17498.0075","16334.8752173913","16303.28772727273","16167.67761904762","16765.80347826087","15726.94761904762","15438.65636363636","15374.06086956522","15287.031","16048.2019047619","15146.00227272727","15350.40318181818","15003.10761904762","15034.01869565217","14948.05666666667","15103.18363636364","15092.11434782609","14670.7685","14879.03","17710.86363636364","17173.1035","17076.29272727273","17864.91636363636"
"IMF.RES:PCPS(9.0.0)","G001.PCOBA.INDEX_PCHY.M","OBS_VALUE","World","Cobalt, US dollars per pound, Unit prices","Index, percent change from a year ago","Monthly","Units","50.07988446906778","93.05633789268125","129.5884378435357","140.4537099435037","134.657984298418","142.4771698258","133.3971784144147","122.3297178168618","125.8347417840376","112.3894618210181","112.3083495809286","129.9255766585409","122.6171505240132","87.8679223346123","66.04670480585111","64.14716223003519","64.26431104869794","41.32091571706472","20.66447281981386","8.273578737289457","3.462293255278291","1.203419713148751","-11.51857497126075","-23.91353969430632","-47.33770176555428","-60.26863846441382","-64.23743948762795","-63.09861482113845","-62.14219759926132","-64.5157335992258","-61.30048744326567","-52.39260881114312","-42.58118958319448","-41.83579362256312","-35.39251729850436","-39.29506785714285","-20.8613623673925","4.492445482866025","-0.6838974854932345","-11.7462686567164","-13.47534017971757","0.921034777642098","4.303883020383198","9.219063058963337","-6.26623584379849","-5.771508203553152","-9.212251085705166","-4.96364452516876","17.60391230819268","41.66222572694152","68.43278174969684","65.80652798917639","49.5635086482428","51.84992077519152","81.11646861215196","56.89104291372046","54.7032760039709","64.85943116821554","87.39018916082549","117.5100966651133","86.16690126577937","50.62909792292981","53.50173677716366","66.84865975471779","75.78113153468488","63.21351280673251","7.868910491154955","-4.515203983391882","-0.5453888100081244","-5.969496638023582","-14.74514229821493","-25.73920821643975","-30.70125060333072","-48.84285197335328","-57.9092590681219","-57.82052901784934","-57.36097659089769","-59.26788496596795","-40.79989110906359","-33.11409986570886","-35.97666885615151","-35.96731145776903","-35.92080494148357","-41.69521306158285","-41.29555501425211","-22.7883709747536","-16.4853146001512","-18.84613737651894","-17.19811364693396","-8.603685222869572","-19.95337105909392","-23.86038706368146","-26.98913328313744","-26.53972943037086","-26.39539860446042","-19.06924076068252","-17.11824204399813","-23.16848214225555","11.49959717441219","18.98973187939324","21.21009861098797","22.88646474716394","24.59706238842743","31.00047627710341","39.04307142616379","78.07318508735406","98.16536718041708","113.4678731762065","133.3904030181861","157.1611902265427","77.10439083211934","67.67089643880481"
"IMF.RES:PCPS(9.0.0)","G001.PCOBA.INDEX_PCH.M","OBS_VALUE","World","Cobalt, US dollars per pound, Unit prices","Index, percent change","Monthly","Units","9.911579296459544","23.86096817019778","22.69554096338652","4.814418076613172","-0.6574657386811943","4.563934305070149","1.913769634801865","-0.1430742361604743","2.845052179504046","-0.3702676162491338","3.692763418970225","16.92584996855229","6.417924217753792","4.526999351645078","8.444219844273803","3.615361161098394","-0.5865667942610116","-10.04089170294156","-12.98265211723084","-10.39726556216826","-1.725009253936996","-2.545465549817266","-9.342159598126976","0.5462337372180093","-26.34415584415587","-21.13902847571188","-2.388369678089314","6.914893617021273","1.990049751243786","-15.68097560975612","-5.097969082729267","10.22754934495437","18.52850831453006","-1.280336303894843","0.7006752144233866","-5.527161235514662","-3.9777666424913","4.125822913234519","-7.223851074969406","-4.993872504268776","-0.008144409730563309","-1.651584524231669","-1.916876367732915","15.42187418266007","1.723297499288979","-0.7592930415673037","-2.976398724321266","-1.10610302703107","18.82389907516937","25.42691429246427","10.30848035373746","-6.475236149850194","-9.803715573217008","-0.1481094329990479","16.9870151531063","-0.01650123627261507","0.3048171317262437","5.755785659502381","10.28347524481358","14.78947316563707","1.701380424654141","1.483898731054228","12.41216703171099","1.656709753888874","-4.974933810843017","-7.287103697941966","-22.68249332320436","-11.49531462761805","4.475026438595901","-0.01197893170197603","-0.009022044043065613","-0.01323800790922372","-5.0942185496107","-25.08339797030605","-7.510258436255916","1.871008784205399","-3.939619740475761","-11.43342282770125","12.37336461948291","-0.00498887358785826","0.003725755517038185","0.002634924370409652","0.06360073895379751","-9.023406906290673","-4.443674035402577","-1.465163580831401","0.0400039077501686","-1.008717058475501","-1.98888343510553","-2.240647858468789","-1.581272259484068","-4.88567047153773","-4.105649992830639","0.6181812319646819","0.2602003706490928","0.0318541569675112","-2.140096618357492","-8.658054188858356","45.18026518353397","5.641154892999732","-0.159980897803206","-0.8886114415154233","-0.2112691116559751","0.002538022623591761","1.781652527799643","28.86222827138337","11.57266272451712","7.756402950669148","6.992972524298435","0.6451130750702685","-0.01577452832353408","0.01416147005829521"
"IMF.RES:PCPS(9.0.0)","G001.PCOBA.INDEX.M","OBS_VALUE","World","Cobalt, US dollars per pound, Unit prices","Index","Monthly","Units","136.3542333149557","168.8896735249545","207.2200985627403","217.1965404463205","215.7685476072851","225.6160823710856","229.933854446733","229.604878340809","236.1372569362918","235.2629171439577","243.950620086652","285.2413360398717","303.5479088246191","317.2895206890418","344.0821453588671","356.5219576044457","354.4307181868887","318.8427136117852","277.4484733024285","248.6014187349935","244.3130212563962","238.0941174665969","215.8509850191155","217.0300359214073","159.8553050296443","126.0634465794917","123.0525854462328","131.561540822834","134.1796809387113","113.1389978974634","107.371206764141","118.3526499182165","140.2816304987799","138.4855538558084","139.455887807233","131.7479360357088","126.5073105839096","131.7267781908973","122.2110319085316","116.1079687888683","116.0985124801603","114.1810474151748","111.9923379008434","129.263655346131","131.4912526862004","130.4928487542844","126.6088612686314","125.2084368216495","148.777546602554","186.6070858636165","205.8434406485494","192.5145917675791","173.6410087537458","173.3838300402268","202.8365675221962","202.8030969809421","203.4212755642114","215.1297681715131","237.2525846256555","272.3409919636472","276.9745482892256","281.0845700966326","315.9732564373934","321.208016196472","305.2281299955756","282.9858396475089","218.7975954638489","193.6461234676165","202.3118386901084","202.2876038931267","202.2693534164098","202.2425769834066","191.9398981115072","143.7948496043979","132.9954847810821","135.4838419839327","130.1462937999787","115.2661177352448","129.5284147653491","129.5219527564761","129.5267784277767","129.5301913604277","129.6125735193012","117.9171036089395","112.6772518925703","111.0263458339587","111.0707607109245","109.9503710006549","107.7635862849858","105.3489837966821","103.6831295402568","98.61751349634226","94.56862356054993","95.15322904272858","95.40081809738234","95.43120722372737","93.38888718507465","85.30322672621909","123.8434507712361","130.8296516540774","130.6203492027684","129.4596418348052","129.1861335995478","129.1894123728451","131.4911188040354","169.442385669852","189.0513814757995","203.7149684068692","217.9607001754448","219.3667931507913","219.3321890738733","219.3632497361572"
"IMF.RES:PCPS(9.0.0)","G001.PLITH.INDEX_PCH.M","OBS_VALUE","World","Lithium, 99%, Battery Grade, Unit prices","Index, percent change","Monthly","Units","0.404397817854126","0.3176447256898791","-0.3333217309353498","0.08015837454372565","0.05777356351825157","1.174991374461787","0.5065865039382312","1.524890656057203","1.579816987877925","1.503892176048364","6.873928831818574","4.463773176729514","2.48874805056919","1.765501861304131","0.002436749731665734","0.3356648622041941","-0.3606231219817115","0.5145221548176304","-5.726840890940961","-3.820104274279867","-2.124971051386937","-2.651668218936672","-3.730876801179582","-0.6568131504332421","-1.781493265817808","-0.2173012461963147","-0.863714026517161","-3.043891849110132","-3.801020845843546","-2.935656142225677","-6.267548725385251","-6.35157536450383","-1.82506124336669","-0.9322360118386016","-4.658665876231359","-2.590012883892708","1.373906507082836","-0.5027379776540672","0.8009291110936503","-5.407694297157308","-4.320055837463399","-5.257990239976848","-6.537294300122892","0.9175078688729598","0.995200374752889","0.1892838436155165","1.501290288510448","1.809810433829427","6.459397947887716","4.668415832913987","6.66039256108023","5.278444919007319","5.327181939002323","2.170223239103761","-0.7810624924437531","8.565031149976161","18.02898384331165","15.95449298390306","14.94820296381968","12.7568328706304","44.37014054548119","28.1224959651266","38.70722182798693","3.555113762597505","-7.505858746941505","-2.112101239061798","-0.5869115414556869","-1.303020900297402","-3.788568004237379","-2.341850807976683","0.2319066631158938","2.909701522214093","1.947312040283765","-3.253745292479017","-14.89658741605233","-18.10907764637501","-22.62811182623656","18.05075193822649","1.303853699571891","-7.375793456892572","-16.65721846023219","-13.49463789518825","-5.234685087503462","-11.28971919545662","-18.63147310769348","-0.7587885600793854","2.176829176175357","0.0332968888152802","0.06247430559984493","-2.333082379060545","-5.823679009939118","-6.075566225217271","-3.555693513885171","-0.9539496364291459","-3.039580064609129","-3.023605797120341","-5.455710526786584","-0.4440049045705117","-1.44827825633707","-4.797420245488901","-3.538262264979073","-6.272870624825069","0.3511321684113206","5.440364829927612","3.789225709363976","-1.954216618475047","3.180672148374455","11.24246245057192","37.91322837559376","13.55167337056049","4.173800811924452","2.942285685466073"
"IMF.RES:PCPS(9.0.0)","G001.PLITH.INDEX_PCHY.M","OBS_VALUE","World","Lithium, 99%, Battery Grade, Unit prices","Index, percent change from a year ago","Monthly","Units","60.46338367477533","60.42968264861627","48.70182078695198","41.96120259531271","12.7682317836724","10.6860604937126","12.68391883599066","13.90890603427542","16.11675525185188","10.60876167255876","12.99537946894638","19.46665412726996","21.94672824497545","23.70675202879824","24.12349704158285","24.44038661570343","23.92003278962821","23.11108419232195","15.47572384917043","9.396257478289928","5.406390610403434","1.091062273641642","-8.939925436488376","-13.40349169090171","-17.01157545297385","-18.62852523525541","-19.33330772179002","-22.05036413082215","-24.74184774124748","-27.32509678857216","-27.74192688003479","-29.6437715613819","-29.42818518362325","-28.18169796511045","-28.87384341946477","-30.25794505042716","-28.01738905271599","-28.22330131453287","-27.0180656358523","-28.79737462837818","-29.18154350821473","-30.87592591193205","-31.07485288801705","-25.72481487958441","-23.59111908688211","-22.72611443120692","-17.73348712891734","-14.017665658102","-9.704302975116164","-5.011380494060767","0.5102188509841446","11.8649076209452","23.14404633812879","32.79911136360595","40.97801505720743","51.66132140356095","77.24041921967412","105.1299516118998","132.3056115328245","157.2840957359499","248.9042938200565","327.0867063521411","455.407767544511","446.3161485425603","379.753109139351","359.6449169713106","360.544347059846","318.6830263370839","241.2898442783053","187.4380601610669","150.6386709373729","128.7502243494441","61.53250535688858","21.97440261431686","-25.16295998459473","-40.8192023512586","-50.49491788690853","-40.29790972951024","-39.16241903255634","-42.9057229865255","-50.54230295091582","-56.19048663631072","-58.57983282681596","-64.29496338485511","-71.50227726590564","-70.76735904702022","-64.90271693776383","-57.12715358859253","-44.55398215415271","-54.12785121272934","-57.35532212322846","-56.75669058261069","-49.95882174949294","-42.70434871717095","-41.37717566828621","-35.91464179665547","-25.53749111138875","-25.30130313659252","-27.95152044497688","-31.43082019327828","-33.898274201967","-36.56475338107448","-32.4055266688174","-24.1178717604338","-18.33890851507013","-19.16360463601962","-13.97774872195212","-1.323129856814707","43.9414881985191","64.17692211024869","73.54272131656224","87.6512636786637"
"IMF.RES:PCPS(9.0.0)","G001.PLITH.INDEX.M","OBS_VALUE","World","Lithium, 99%, Battery Grade, Unit prices","Index","Monthly","Units","118.6773425903326","119.0543149096597","118.6574810064496","118.7525949144989","118.8212025203514","120.2173414009973","120.8263462279281","122.6688158916131","124.6067586838975","126.4807099785721","135.174903968478","141.2088050734928","144.7231364569914","147.2782261248773","147.2818149266572","147.7761882277826","147.24327312425","148.0008723859529","139.5250979072048","134.1950936783585","131.3434867853118","127.8606932885824","123.0903683448513","122.2818946186456","120.1034509007","119.842464605168","118.8073684286493","115.1910006249074","110.8125666786189","107.5594907585601","100.8181472664911","94.41460666176346","92.69148226750251","91.82737888989786","87.54944812451651","85.28190613831457","86.45359979611315","86.01896471688903","86.70791564636797","82.01901663677536","78.47574932072827","74.34950208069568","69.48905631900461","70.12662387873704","70.82452430237978","70.95858368420173","72.02387800991721","73.32737366898927","78.06388053900392","81.70822709787384","87.15031577729117","91.75049719233643","96.63821310771141","98.73547806642958","97.96429228051767","106.3549644301977","125.5296837838779","145.5573083758924","167.3155102605937","188.6596702711801","272.3682311231441","348.964975931037","484.0396232666447","501.2477825298223","463.6248320009573","453.8326061796669","451.1690102351093","445.2901837360809","428.4200623090459","418.3871036183273","419.3573711892358","431.559419002246","439.9632275294554","425.647944725077","362.2409265544758","296.6424358977775","229.5178537787563","270.947552218301","274.4803119017988","254.2352110160876","211.8866965143056","183.2933540716236","173.6985241996514","154.0884485708585","125.3795007133169","124.4281354052196","127.1367233600914","127.179055933512","127.2585101655749","124.2894642890469","117.0512448456799","109.9397189476394","106.0305994918346","105.0191209734786","101.826980708341","98.74813421661099","93.36072186315","92.94619567913518","91.60007613702176","87.20563553954103","84.12007144431027","78.84332819309827","79.12017248103035","83.42459851806639","86.58574485304664","84.893671837898","87.59386121377843","97.44156816974355","134.3848124426983","152.5962032845731","158.9652648562305","163.6424770889586"
